scenario,N,k,algorithm,algorithm_type,epsilon,m_value,strategy,recovery_pct,p1_winner_score,p1_2nd_score,p1_true_winner_score,p1_diff,p2_diff,parwis_recovery,beats_parwis
N100_k20,100,20,"Gen-Prob E-Greedy (m=50, e=0.2)",Gen-Prob E-Greedy,0.2,50.0,Gen-Prob,85.5,3.2983,2.3537,2.8641,0.9445813759235788,1.0264600396666514,83.5,True
N100_k20,100,20,"Gen-Prob E-Greedy (m=75, e=0.4)",Gen-Prob E-Greedy,0.4,75.0,Gen-Prob,85.5,3.3186,2.3824,2.918,0.9361694092608372,0.9567786405860864,83.5,True
N100_k30,100,30,"Gen-Prob E-Greedy (m=75, e=0.6)",Gen-Prob E-Greedy,0.6,75.0,Gen-Prob,82.0,2.9543,2.2828,2.4219,0.6715761625132544,0.6017267371059609,81.0,True
N100_k30,100,30,"Gen-Prob E-Greedy (m=75, e=0.2)",Gen-Prob E-Greedy,0.2,75.0,Gen-Prob,82.0,2.9543,2.2828,2.4219,0.6715761625132544,0.6802050832696072,81.0,True
N100_k40,100,40,"Gen-Prob E-Greedy (m=50, e=0.1)",Gen-Prob E-Greedy,0.1,50.0,Gen-Prob,70.0,2.6412,2.1359,1.8108,0.5053426853378711,0.4864070906267961,67.0,True
N100_k60,100,60,"Gen-Prob E-Greedy (m=75, e=0.1)",Gen-Prob E-Greedy,0.1,75.0,Gen-Prob,59.5,2.3699,2.0587,1.4972,0.3112037751922862,0.2403810344427133,55.0,True
N100_k70,100,70,"Gen-Prob E-Greedy (m=75, e=0.2)",Gen-Prob E-Greedy,0.2,75.0,Gen-Prob,39.0,2.2403,2.0026,1.1698,0.2377739888530827,0.1823743871267391,38.5,True
N100_k90,100,90,"Gen-Prob E-Greedy (m=75, e=1.0)",Gen-Prob E-Greedy,1.0,75.0,Gen-Prob,11.0,2.1584,1.9563,0.3475,0.2021446465638743,0.1829598998076735,9.5,True
N100_k93,100,93,"Gen-Prob E-Greedy (m=50, e=0.8)",Gen-Prob E-Greedy,0.8,50.0,Gen-Prob,13.5,2.2647,2.0224,0.7281,0.2423069503407342,0.1673727942892475,11.5,True
N100_k95,100,95,"Gen-Prob E-Greedy (m=50, e=0.0)",Gen-Prob E-Greedy,0.0,50.0,Gen-Prob,11.0,2.1328,1.952,0.7691,0.1807692422632418,0.1730691143746274,11.0,False
