scenario,N,k,k_ratio,epsilon,m_value,strategy,p1_diff,p1_true_winner_score,recovery_improvement,k_ratio_bin
N100_k20,100,20,0.2,0.2,50.0,Gen-Prob,0.9445813759235788,2.8641,2.0,Very Low
N100_k20,100,20,0.2,0.4,75.0,Gen-Prob,0.9361694092608372,2.918,2.0,Very Low
N100_k30,100,30,0.3,0.6,75.0,Gen-Prob,0.6715761625132544,2.4219,1.0,Low
N100_k30,100,30,0.3,0.2,75.0,Gen-Prob,0.6715761625132544,2.4219,1.0,Low
N100_k40,100,40,0.4,0.1,50.0,Gen-Prob,0.5053426853378711,1.8108,3.0,Medium
N100_k60,100,60,0.6,0.1,75.0,Gen-Prob,0.3112037751922862,1.4972,4.5,High
N100_k70,100,70,0.7,0.2,75.0,Gen-Prob,0.2377739888530827,1.1698,0.5,High
N100_k90,100,90,0.9,1.0,75.0,Gen-Prob,0.2021446465638743,0.3475,1.5,Very High
N100_k93,100,93,0.93,0.8,50.0,Gen-Prob,0.2423069503407342,0.7281,2.0,Very High
N200_k10,200,10,0.05,0.1,150.0,Gen-Prob,1.2185898135407154,4.1828,0.5,Very Low
N200_k20,200,20,0.1,0.2,100.0,Gen-Prob,0.863258000849902,3.3421,3.0,Very Low
N200_k30,200,30,0.15,0.1,150.0,Gen-Prob,0.6335485718982277,2.6968,1.0,Very Low
N200_k30,200,30,0.15,0.2,150.0,Gen-Prob,0.6335485718982277,2.6968,1.0,Very Low
N200_k40,200,40,0.2,0.8,100.0,Gen-Prob,0.4421566105895627,2.0789,2.0,Very Low
N200_k50,200,50,0.25,0.4,150.0,Gen-Prob,0.3138178084211351,1.6641,2.5,Low
N200_k70,200,70,0.35,0.2,150.0,Gen-Prob,0.1757792665770714,1.021,1.0,Low
N200_k90,200,90,0.45,0.6,100.0,Gen-Prob,0.16723795755217,0.678,2.0,Medium
N200_k93,200,93,0.465,0.4,100.0,Gen-Prob,0.1650325977726257,0.5805,3.0,Medium
N200_k93,200,93,0.465,0.8,150.0,Gen-Prob,0.1430086300402802,0.5836,3.0,Medium
N200_k95,200,95,0.475,0.6,150.0,Gen-Prob,0.1347804877497875,0.6886,3.0,Medium
N200_k97,200,97,0.485,0.0,150.0,Gen-Prob,0.1646884194968434,0.7795,2.5,Medium
N300_k20,300,20,0.06666666666666667,0.2,150.0,Gen-Prob,0.8151025327591488,3.2535,0.5,Very Low
N300_k30,300,30,0.1,0.2,225.0,Gen-Prob,0.5750500706565727,2.8385,0.25,Very Low
N300_k40,300,40,0.13333333333333333,0.1,150.0,Gen-Prob,0.4174584829482111,2.1969,0.75,Very Low
