Budget,"N=100, k=90 Recovery Rate","N=100, k=93 Recovery Rate","N=100, k=95 Recovery Rate","N=100, k=97 Recovery Rate"
1,0.05,0.04,0.03,0.03
2,0.05,0.04,0.03,0.03
3,0.05,0.04,0.03,0.03
4,0.05,0.04,0.03,0.03
5,0.05,0.04,0.03,0.03
6,0.055,0.04,0.03,0.03
7,0.055,0.04,0.03,0.03
8,0.055,0.04,0.03,0.03
9,0.055,0.04,0.03,0.03
10,0.055,0.04,0.03,0.03
11,0.055,0.04,0.03,0.03
12,0.055,0.04,0.03,0.03
13,0.055,0.04,0.03,0.03
14,0.055,0.04,0.03,0.03
15,0.06,0.045,0.035,0.035
16,0.06,0.045,0.035,0.035
17,0.065,0.05,0.04,0.04
18,0.065,0.05,0.04,0.04
19,0.06,0.05,0.04,0.04
20,0.06,0.05,0.04,0.04
21,0.06,0.05,0.04,0.04
22,0.06,0.05,0.04,0.04
23,0.06,0.05,0.04,0.04
24,0.06,0.05,0.04,0.04
25,0.06,0.05,0.04,0.04
26,0.06,0.05,0.04,0.04
27,0.06,0.05,0.04,0.04
28,0.06,0.055,0.045,0.045
29,0.055,0.05,0.045,0.045
30,0.055,0.05,0.045,0.045
31,0.06,0.055,0.045,0.045
32,0.065,0.055,0.045,0.045
33,0.065,0.055,0.045,0.045
34,0.065,0.055,0.045,0.045
35,0.065,0.055,0.045,0.045
36,0.065,0.055,0.045,0.045
37,0.065,0.055,0.045,0.045
38,0.065,0.055,0.045,0.045
39,0.065,0.055,0.045,0.045
40,0.06,0.055,0.045,0.045
41,0.06,0.055,0.045,0.045
42,0.06,0.055,0.045,0.045
43,0.065,0.055,0.045,0.045
44,0.07,0.06,0.05,0.05
45,0.07,0.06,0.05,0.05
46,0.07,0.06,0.05,0.05
47,0.07,0.06,0.05,0.05
48,0.07,0.06,0.05,0.05
49,0.07,0.06,0.05,0.05
50,0.07,0.06,0.05,0.05
51,0.07,0.06,0.05,0.05
52,0.075,0.065,0.055,0.055
53,0.075,0.065,0.055,0.055
54,0.075,0.065,0.055,0.055
55,0.07,0.06,0.05,0.05
56,0.07,0.06,0.05,0.05
57,0.07,0.06,0.05,0.05
58,0.07,0.06,0.05,0.05
59,0.07,0.065,0.055,0.055
60,0.07,0.065,0.055,0.055
61,0.07,0.065,0.055,0.055
62,0.07,0.065,0.055,0.055
63,0.07,0.065,0.055,0.055
64,0.07,0.065,0.055,0.055
65,0.07,0.065,0.055,0.055
66,0.07,0.065,0.055,0.055
67,0.065,0.06,0.05,0.05
68,0.065,0.06,0.05,0.05
69,0.065,0.06,0.05,0.05
70,0.065,0.06,0.05,0.05
71,0.065,0.06,0.05,0.05
72,0.065,0.06,0.05,0.05
73,0.065,0.06,0.05,0.05
74,0.065,0.06,0.05,0.05
75,0.065,0.06,0.05,0.05
76,0.065,0.06,0.05,0.05
77,0.065,0.06,0.05,0.05
78,0.065,0.06,0.05,0.05
79,0.065,0.06,0.05,0.05
80,0.07,0.065,0.055,0.055
81,0.07,0.065,0.055,0.055
82,0.07,0.065,0.055,0.055
83,0.07,0.065,0.055,0.055
84,0.075,0.07,0.06,0.06
85,0.075,0.07,0.06,0.06
86,0.075,0.07,0.06,0.06
87,0.07,0.065,0.055,0.055
88,0.07,0.065,0.055,0.055
89,0.07,0.065,0.055,0.055
90,0.07,0.065,0.055,0.055
91,0.07,0.065,0.055,0.055
92,0.07,0.065,0.055,0.055
93,0.065,0.06,0.05,0.05
94,0.065,0.06,0.05,0.05
95,0.07,0.065,0.055,0.055
96,0.07,0.065,0.055,0.055
97,0.07,0.065,0.055,0.055
98,0.07,0.065,0.055,0.055
99,0.07,0.065,0.055,0.055
100,0.07,0.065,0.055,0.055
101,0.065,0.06,0.05,0.05
102,0.065,0.06,0.05,0.05
103,0.065,0.06,0.05,0.05
104,0.065,0.06,0.05,0.05
105,0.065,0.06,0.05,0.05
106,0.065,0.06,0.05,0.05
107,0.065,0.06,0.05,0.05
108,0.065,0.06,0.05,0.05
109,0.065,0.06,0.05,0.05
110,0.065,0.06,0.05,0.05
111,0.065,0.06,0.05,0.05
112,0.065,0.06,0.05,0.05
113,0.065,0.06,0.05,0.05
114,0.07,0.065,0.055,0.055
115,0.07,0.065,0.055,0.055
116,0.07,0.065,0.055,0.055
117,0.07,0.055,0.045,0.045
118,0.07,0.055,0.045,0.045
119,0.065,0.055,0.045,0.045
120,0.065,0.055,0.045,0.045
121,0.065,0.055,0.045,0.045
122,0.065,0.055,0.045,0.045
123,0.065,0.055,0.045,0.045
124,0.065,0.055,0.045,0.045
125,0.065,0.055,0.045,0.045
126,0.065,0.055,0.045,0.045
127,0.065,0.055,0.045,0.045
128,0.065,0.055,0.045,0.045
129,0.065,0.055,0.045,0.045
130,0.065,0.055,0.045,0.045
131,0.065,0.055,0.045,0.045
132,0.065,0.055,0.045,0.045
133,0.065,0.055,0.045,0.045
134,0.065,0.055,0.045,0.045
135,0.065,0.055,0.045,0.045
136,0.065,0.055,0.045,0.045
137,0.065,0.055,0.045,0.045
138,0.065,0.055,0.045,0.045
139,0.065,0.055,0.045,0.045
140,0.065,0.055,0.045,0.045
141,0.065,0.055,0.045,0.045
142,0.065,0.055,0.045,0.045
143,0.065,0.055,0.045,0.045
144,0.065,0.055,0.045,0.045
145,0.065,0.055,0.045,0.045
146,0.065,0.055,0.045,0.045
147,0.065,0.055,0.045,0.045
148,0.065,0.055,0.045,0.045
149,0.065,0.055,0.045,0.045
150,0.065,0.055,0.045,0.045
151,0.065,0.055,0.045,0.045
152,0.065,0.055,0.045,0.045
153,0.065,0.055,0.045,0.045
154,0.065,0.055,0.045,0.045
155,0.06,0.05,0.04,0.04
156,0.06,0.05,0.04,0.04
157,0.06,0.05,0.04,0.04
158,0.06,0.05,0.04,0.04
159,0.06,0.05,0.04,0.04
160,0.06,0.05,0.04,0.04
161,0.06,0.05,0.04,0.04
162,0.06,0.05,0.04,0.04
163,0.06,0.05,0.04,0.04
164,0.06,0.05,0.04,0.04
165,0.06,0.05,0.04,0.04
166,0.06,0.05,0.04,0.04
167,0.06,0.05,0.04,0.04
168,0.06,0.05,0.04,0.04
169,0.055,0.05,0.04,0.04
170,0.055,0.05,0.04,0.04
171,0.055,0.05,0.04,0.04
172,0.06,0.055,0.045,0.045
173,0.055,0.05,0.04,0.04
174,0.055,0.05,0.04,0.04
175,0.055,0.05,0.04,0.04
176,0.055,0.05,0.04,0.04
177,0.06,0.055,0.045,0.045
178,0.06,0.055,0.045,0.045
179,0.06,0.055,0.045,0.045
180,0.06,0.055,0.045,0.045
181,0.06,0.055,0.045,0.045
182,0.06,0.055,0.045,0.045
183,0.06,0.055,0.045,0.045
184,0.06,0.055,0.045,0.045
185,0.06,0.055,0.045,0.045
186,0.06,0.055,0.045,0.045
187,0.06,0.055,0.045,0.045
188,0.06,0.055,0.045,0.045
189,0.06,0.055,0.045,0.045
190,0.06,0.055,0.045,0.045
191,0.06,0.055,0.045,0.045
192,0.06,0.055,0.045,0.045
193,0.06,0.055,0.045,0.045
194,0.06,0.055,0.045,0.045
195,0.06,0.055,0.045,0.045
196,0.06,0.055,0.045,0.045
197,0.06,0.055,0.045,0.045
198,0.06,0.055,0.045,0.045
199,0.065,0.06,0.05,0.05
200,0.065,0.06,0.05,0.05
201,0.065,0.06,0.05,0.05
202,0.065,0.06,0.05,0.05
203,0.065,0.06,0.05,0.05
204,0.065,0.06,0.05,0.05
205,0.065,0.06,0.05,0.05
206,0.065,0.06,0.05,0.05
207,0.06,0.055,0.045,0.045
208,0.06,0.055,0.045,0.045
209,0.06,0.055,0.045,0.045
210,0.06,0.055,0.045,0.045
211,0.06,0.055,0.045,0.045
212,0.06,0.055,0.045,0.045
213,0.06,0.055,0.045,0.045
214,0.06,0.055,0.045,0.045
215,0.065,0.055,0.045,0.045
216,0.065,0.055,0.045,0.045
217,0.065,0.055,0.045,0.045
218,0.065,0.055,0.045,0.045
219,0.065,0.055,0.045,0.045
220,0.065,0.055,0.045,0.045
221,0.065,0.055,0.045,0.045
222,0.065,0.055,0.045,0.045
223,0.065,0.055,0.045,0.045
224,0.065,0.055,0.045,0.045
225,0.065,0.055,0.045,0.045
226,0.065,0.055,0.045,0.045
227,0.065,0.055,0.045,0.045
228,0.065,0.055,0.045,0.045
229,0.065,0.055,0.045,0.045
230,0.07,0.06,0.05,0.05
231,0.07,0.06,0.05,0.05
232,0.065,0.055,0.05,0.05
233,0.065,0.055,0.05,0.05
234,0.065,0.055,0.05,0.05
