Trial,Original_Recovery,Original_Rank_of_True,TwoPhase_Recovery,TwoPhase_Rank_of_True,Phase1_Recovery,Phase1_Budget_Used,K_Used
1,False,14.0,False,14.0,False,152,40
2,False,5.0,False,5.0,False,415,40
3,False,14.0,False,14.0,False,177,40
4,True,1.0,True,1.0,True,380,40
5,False,41.0,False,57.0,False,156,40
6,False,8.0,False,8.0,False,500,40
7,False,91.0,False,91.0,False,500,40
8,False,14.0,False,14.0,False,152,40
9,False,19.0,False,20.0,False,197,40
10,False,14.0,False,14.0,False,174,40
11,False,14.0,False,14.0,False,166,40
12,False,71.0,False,69.0,False,202,40
13,False,55.0,False,59.0,False,193,40
14,False,19.0,False,19.0,False,500,40
15,False,50.0,False,50.0,False,500,40
16,False,14.0,False,14.0,False,461,40
17,False,14.0,False,14.0,False,202,40
18,False,14.0,False,92.0,False,286,40
19,False,14.0,False,14.0,False,345,40
20,False,14.0,False,14.0,False,272,40
21,False,14.0,False,14.0,False,149,40
22,False,14.0,False,14.0,False,173,40
23,False,13.0,False,48.0,False,285,40
24,False,7.0,True,1.0,True,365,40
25,False,48.0,False,48.0,False,500,40
26,False,14.0,False,14.0,False,277,40
27,False,3.0,False,3.0,False,244,40
28,False,18.0,False,18.0,False,440,40
29,False,28.0,False,28.0,False,500,40
30,False,83.0,False,32.0,False,192,40
31,False,27.0,False,27.0,False,500,40
32,False,68.0,False,69.0,False,224,40
33,False,83.0,False,83.0,False,280,40
34,False,14.0,False,14.0,False,423,40
35,False,96.0,False,95.0,False,190,40
36,False,29.0,False,30.0,False,176,40
37,False,14.0,False,11.0,False,198,40
38,False,14.0,False,14.0,False,296,40
39,False,14.0,False,14.0,False,283,40
40,False,2.0,False,6.0,False,206,40
41,False,14.0,False,55.0,False,278,40
42,False,14.0,False,58.0,False,221,40
43,False,14.0,False,14.0,False,333,40
44,False,14.0,False,14.0,False,245,40
45,False,84.0,False,84.0,False,385,40
46,False,90.0,False,89.0,False,409,40
47,False,32.0,False,14.0,False,308,40
48,False,14.0,False,14.0,False,171,40
49,False,14.0,False,14.0,False,168,40
50,False,14.0,False,14.0,False,192,40
51,False,39.0,False,39.0,False,235,40
52,False,14.0,False,14.0,False,183,40
53,False,2.0,False,4.0,False,363,40
54,False,95.0,False,94.0,False,405,40
55,False,14.0,False,14.0,False,341,40
