Algorithm,recovery_pct,avg_rank,p1_budget,p1_correct_pct,p1_winner_score,p1_2nd_score,p2_winner_score,p2_2nd_score,avg_k,p1_true_winner_score,p2_true_winner_score,P1 Avg difference,P2 Avg difference,P2 Changes %,P2 Fixes %,P2 Errors %,N,k,m,epsilon,family,recovery_gain
"Gen-Prob E-Greedy (m=50, e=0.2)",85.5,90.83,210,81.0,3.2983,2.3537,3.3182,2.2917,0.0,2.8641,2.9915,0.9445813759235788,1.0264600396666514,15.0,4.5,0.0,100,20,50.0,0.2,Gen-Prob E-Greedy,2.0
"Gen-Prob E-Greedy (m=75, e=0.4)",85.5,90.97,245,82.5,3.3186,2.3824,3.3007,2.3439,0.0,2.918,2.9461,0.9361694092608372,0.9567786405860864,9.5,3.0,0.0,100,20,75.0,0.4,Gen-Prob E-Greedy,2.0
"Gen-Prob E-Greedy (m=75, e=0.6)",85.0,90.28,245,82.5,3.3186,2.3824,3.3182,2.3594,0.0,2.918,2.9568,0.9361694092608372,0.9587826602026754,9.5,2.5,0.0,100,20,75.0,0.6,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=50, e=0.8)",85.0,89.87,210,81.0,3.2983,2.3537,3.32,2.399,0.0,2.8641,2.9391,0.9445813759235788,0.9209267717415144,15.0,4.0,0.0,100,20,50.0,0.8,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=50, e=0.6)",85.0,89.49,210,81.0,3.2983,2.3537,3.3268,2.3933,0.0,2.8641,2.9451,0.9445813759235788,0.9334614932215888,15.0,4.0,0.0,100,20,50.0,0.6,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=75, e=0.1)",85.0,91.52,245,82.5,3.3186,2.3824,3.3016,2.2219,0.0,2.918,2.9749,0.9361694092608372,1.0796806398897068,9.5,2.5,0.0,100,20,75.0,0.1,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=75, e=0.2)",85.0,90.69,245,82.5,3.3186,2.3824,3.3234,2.3133,0.0,2.918,2.9659,0.9361694092608372,1.0101034075471969,9.5,2.5,0.0,100,20,75.0,0.2,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=50, e=1.0)",85.0,89.38,210,81.0,3.2983,2.3537,3.3124,2.3649,0.0,2.8641,2.9171,0.9445813759235788,0.9474734216986014,12.0,4.0,0.0,100,20,50.0,1.0,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=75, e=0.8)",85.0,90.38,245,82.5,3.3186,2.3824,3.3168,2.392,0.0,2.918,2.9412,0.9361694092608372,0.9248192379351408,11.0,2.5,0.0,100,20,75.0,0.8,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=75, e=1.0)",84.5,89.67,245,82.5,3.3186,2.3824,3.3224,2.3969,0.0,2.918,2.9264,0.9361694092608372,0.9255290883005768,10.5,2.0,0.0,100,20,75.0,1.0,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=75, e=0.0)",84.0,89.55,210,81.0,3.2983,2.3537,3.2571,2.1805,0.0,2.8641,2.8551,0.9445813759235788,1.076607104015301,10.0,3.0,0.0,100,20,75.0,0.0,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=50, e=0.1)",84.0,90.27,210,81.0,3.2983,2.3537,3.2774,2.2079,0.0,2.8641,2.916,0.9445813759235788,1.0695122251534377,15.0,3.0,0.0,100,20,50.0,0.1,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=50, e=0.4)",84.0,89.11,210,81.0,3.2983,2.3537,3.2977,2.3457,0.0,2.8641,2.9187,0.9445813759235788,0.9519791665750476,15.0,3.0,0.0,100,20,50.0,0.4,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),83.5,90.06,245,82.5,3.3186,2.3824,3.2655,2.2056,0.0,2.918,2.8941,0.9361694092608372,1.0598981975248387,9.5,1.0,0.0,100,20,,,Baseline,0.0
PARWiS-P2 (m=75),83.5,90.06,210,81.0,3.2983,2.3537,3.2655,2.2056,0.0,2.8641,2.8941,0.9445813759235788,1.0598981975248387,14.499999999999998,2.5,0.0,100,20,75.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",83.5,90.06,245,82.5,3.3186,2.3824,3.2655,2.2056,0.0,2.918,2.8941,0.9361694092608372,1.0598981975248387,9.5,1.0,0.0,100,20,50.0,0.0,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=50),83.5,90.06,500,83.5,3.2655,2.2056,3.2655,2.2056,0.0,2.8941,2.8941,1.0598981975248387,1.0598981975248387,0.0,0.0,0.0,100,20,50.0,,PARWiS-P2,0.0
