k_N_ratio,epsilon,algorithm_type,recovery_rate,parwis_baseline,improvement_over_parwis,k,N
0.4,0.1,Gen-Prob E-Greedy,70.0,67.0,3.0,40,100
0.465,0.8,Gen-Prob E-Greedy,10.0,7.0,3.0,93,200
0.6,0.1,Gen-Prob E-Greedy,57.75,55.0,2.75,60,100
0.485,0.0,Gen-Prob E-Greedy,8.5,6.0,2.5,97,200
0.475,0.6,Gen-Prob E-Greedy,6.0,3.5,2.5,95,200
0.25,0.4,Gen-Prob E-Greedy,64.0,61.5,2.5,50,200
0.6,0.2,Gen-Prob E-Greedy,57.5,55.0,2.5,60,100
0.465,0.4,Gen-Prob E-Greedy,9.5,7.0,2.5,93,200
0.465,1.0,Gen-Prob E-Greedy,9.5,7.0,2.5,93,200
0.93,0.8,Gen-Prob E-Greedy,13.5,11.5,2.0,93,100
0.4,0.2,Gen-Prob E-Greedy,69.0,67.0,2.0,40,100
0.475,0.1,Gen-Prob E-Greedy,5.5,3.5,2.0,95,200
0.465,0.2,Gen-Prob E-Greedy,9.0,7.0,2.0,93,200
0.45,0.6,Gen-Prob E-Greedy,9.0,7.0,2.0,90,200
0.475,0.8,Gen-Prob E-Greedy,5.25,3.5,1.75,95,200
0.175,1.0,Gen-Prob E-Greedy,29.25,27.5,1.75,70,400
0.2,0.8,Gen-Prob E-Greedy,80.67,79.0,1.67,20,100
0.31,0.6,Gen-Prob E-Greedy,9.25,7.75,1.5,93,300
0.08,0.2,Gen-Prob E-Greedy,68.5,67.0,1.5,40,500
0.9,1.0,Gen-Prob E-Greedy,11.0,9.5,1.5,90,100
0.31,0.8,Gen-Prob E-Greedy,9.25,7.75,1.5,93,300
0.45,0.1,Gen-Prob E-Greedy,8.5,7.0,1.5,90,200
0.465,0.0,Gen-Prob E-Greedy,8.5,7.0,1.5,93,200
0.475,0.4,Gen-Prob E-Greedy,5.0,3.5,1.5,95,200
0.45,0.0,Gen-Prob E-Greedy,8.5,7.0,1.5,90,200
0.475,1.0,Gen-Prob E-Greedy,5.0,3.5,1.5,95,200
0.2,0.1,Gen-Prob E-Greedy,68.4,67.0,1.4,20,100
0.3,0.2,Gen-Prob E-Greedy,44.88,43.62,1.25,30,100
0.1,0.4,Gen-Prob E-Greedy,86.83,85.58,1.25,20,200
0.2425,0.2,Gen-Prob E-Greedy,4.25,3.0,1.25,97,400
0.23333333333333334,0.2,Gen-Prob E-Greedy,30.75,29.5,1.25,70,300
0.2,0.2,Gen-Prob E-Greedy,64.12,62.94,1.19,20,100
0.31666666666666665,0.1,Gen-Prob E-Greedy,5.38,4.25,1.12,95,300
0.2,0.6,Gen-Prob E-Greedy,65.45,64.35,1.1,20,100
0.31,0.0,Gen-Prob E-Greedy,8.75,7.75,1.0,93,300
0.9,0.2,Gen-Prob E-Greedy,10.5,9.5,1.0,90,100
0.4,0.4,Gen-Prob E-Greedy,68.0,67.0,1.0,40,100
0.4,0.8,Gen-Prob E-Greedy,68.0,67.0,1.0,40,100
0.31666666666666665,0.8,Gen-Prob E-Greedy,5.25,4.25,1.0,95,300
0.35,0.2,Gen-Prob E-Greedy,32.0,31.0,1.0,70,200
0.45,0.4,Gen-Prob E-Greedy,8.0,7.0,1.0,90,200
0.1,0.1,Gen-Prob E-Greedy,90.5,89.5,1.0,20,200
0.1,1.0,Gen-Prob E-Greedy,90.5,89.5,1.0,20,200
0.15,0.1,Gen-Prob E-Greedy,85.0,84.0,1.0,30,200
0.15,0.2,Gen-Prob E-Greedy,85.0,84.0,1.0,30,200
0.1,0.2,Gen-Prob E-Greedy,86.31,85.31,1.0,20,200
0.175,0.1,Gen-Prob E-Greedy,28.5,27.5,1.0,70,400
0.485,0.4,Gen-Prob E-Greedy,7.0,6.0,1.0,97,200
0.45,0.8,Gen-Prob E-Greedy,8.0,7.0,1.0,90,200
0.465,0.1,Gen-Prob E-Greedy,8.0,7.0,1.0,93,200
