Algorithm,recovery_pct,avg_rank,p1_budget,p1_correct_pct,p1_winner_score,p1_2nd_score,p2_winner_score,p2_2nd_score,avg_k,p1_true_winner_score,p2_true_winner_score,P1 Avg difference,P2 Avg difference,P2 Changes %,P2 Fixes %,P2 Errors %
"E-Greedy (m=50, e=1.0, Prob-k)",5.00%,74.08,154,4.50%,0.5271,0.1197,0.5303,0.1923,25.9,0.0555,0.0704,0.40743826142623923,0.33796707755785954,0.5,0.5,0.0
Pure PARWiS (Baseline),4.50%,79.88,179,4.50%,0.7934,0.1221,1.2465,0.1342,0.0,0.0711,0.1008,0.6712435973957634,1.1123163880406481,0.0,0.0,0.0
"Gen-Prob E-Greedy (m=50, e=0.2)",4.50%,80.58,154,4.50%,0.5271,0.1197,1.2382,0.1503,0.0,0.0555,0.1063,0.40743826142623923,1.0879010035035075,0.5,0.0,0.0
"E-Greedy (m=75, e=0.6, Top-k)",4.50%,79.08,179,4.50%,0.7934,0.1221,0.8527,0.2175,24.9,0.0711,0.0973,0.6712435973957634,0.6351653582784765,0.0,0.0,0.0
"E-Greedy (m=75, e=0.6, Prob-k)",4.50%,74.92,179,4.50%,0.7934,0.1221,0.7952,0.2362,24.9,0.0711,0.0785,0.6712435973957634,0.5590580990338267,0.0,0.0,0.0
"E-Greedy (m=75, e=0.8, Top-k)",4.50%,80.03,179,4.50%,0.7934,0.1221,0.8491,0.2240,24.9,0.0711,0.1045,0.6712435973957634,0.6251434637828676,0.0,0.0,0.0
"E-Greedy (m=75, e=0.8, Prob-k)",4.50%,73.82,179,4.50%,0.7934,0.1221,0.7956,0.2330,24.9,0.0711,0.0774,0.6712435973957634,0.5626174911782171,0.0,0.0,0.0
"E-Greedy (m=75, e=1.0, Top-k)",4.50%,80.52,179,4.50%,0.7934,0.1221,0.8453,0.2342,24.9,0.0711,0.1101,0.6712435973957634,0.6111077024097211,0.0,0.0,0.0
"E-Greedy (m=75, e=1.0, Prob-k)",4.50%,73.70,179,4.50%,0.7934,0.1221,0.7958,0.1898,24.9,0.0711,0.0811,0.6712435973957634,0.6060654114609809,0.0,0.0,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",4.50%,80.47,179,4.50%,0.7934,0.1221,0.7894,0.2259,24.9,0.0711,0.1098,0.6712435973957634,0.563455804403431,0.0,0.0,0.0
"Gen-Prob E-Greedy (m=50, e=0.1)",4.50%,79.77,154,4.50%,0.5271,0.1197,1.2499,0.1315,0.0,0.0555,0.1011,0.40743826142623923,1.1183801787729821,0.0,0.0,0.0
"Gen-Prob E-Greedy (m=50, e=0.4)",4.50%,79.94,154,4.50%,0.5271,0.1197,1.2126,0.1618,0.0,0.0555,0.1043,0.40743826142623923,1.050827951547324,0.0,0.0,0.0
"E-Greedy (m=75, e=0.4, Top-k)",4.50%,79.17,179,4.50%,0.7934,0.1221,0.8511,0.1959,24.9,0.0711,0.0926,0.6712435973957634,0.6551164893075192,0.0,0.0,0.0
